what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176400598
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176481647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305176582016
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176639645
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305176641555
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176643191
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176648112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176652072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176755171
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305176755845
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176761212
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176761799
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176762726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176768404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176790843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176854512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176855878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176858255
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305176858290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305176864447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178080494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178080543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178081759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178083044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178084156
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178084248
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305178086612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1305178088788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1305178090372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1305178091358
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178092955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305178099945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305178100121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305178101103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178107521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178142714
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305178142723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178145354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178148035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178150330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178154738
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178156053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178175395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178238448
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305178238457
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178241594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178269324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178324370
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305178348215
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178349506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178356272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305178383511
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178383616
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178390721
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305178391916
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305178402831
